coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,111,444.0,0.37,0.458
-1.8,111,450.0,0.37,0.464
-1.6,112,456.0,0.373,0.471
-1.4,108,461.0,0.36,0.476
-1.2,110,468.0,0.367,0.483
-1.0,109,481.0,0.363,0.496
-0.8,112,483.0,0.373,0.498
-0.6,115,481.0,0.383,0.496
-0.4,117,486.0,0.39,0.502
-0.2,120,489.0,0.4,0.505
-0.0,123,486.0,0.41,0.502
0.2,125,482.0,0.417,0.497
0.4,131,473.0,0.437,0.488
0.6,133,472.0,0.443,0.487
0.8,141,467.0,0.47,0.482
1.0,144,460.0,0.48,0.475
1.2,150,462.0,0.5,0.477
1.4,157,446.0,0.523,0.46
1.6,162,430.0,0.54,0.444
1.8,168,414.0,0.56,0.427
2.0,174,399.0,0.58,0.412
