coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,153,494.0,0.51,0.51
-1.8,153,495.0,0.51,0.511
-1.6,153,494.0,0.51,0.51
-1.4,153,494.0,0.51,0.51
-1.2,153,495.0,0.51,0.511
-1.0,153,493.0,0.51,0.509
-0.8,153,490.0,0.51,0.506
-0.6,154,488.0,0.513,0.504
-0.4,155,489.0,0.517,0.505
-0.2,154,488.0,0.513,0.504
-0.0,155,486.0,0.517,0.502
0.2,156,485.0,0.52,0.501
0.4,155,482.0,0.517,0.497
0.6,158,481.0,0.527,0.496
0.8,160,483.0,0.533,0.498
1.0,160,481.0,0.533,0.496
1.2,161,477.0,0.537,0.492
1.4,160,477.0,0.533,0.492
1.6,160,477.0,0.533,0.492
1.8,160,478.0,0.533,0.493
2.0,158,479.0,0.527,0.494
