coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,137,502.0,0.457,0.518
-1.8,139,503.0,0.463,0.519
-1.6,140,503.0,0.467,0.519
-1.4,146,501.0,0.487,0.517
-1.2,148,500.0,0.493,0.516
-1.0,150,498.0,0.5,0.514
-0.8,153,499.0,0.51,0.515
-0.6,153,495.0,0.51,0.511
-0.4,156,492.0,0.52,0.508
-0.2,160,485.0,0.533,0.501
-0.0,160,486.0,0.533,0.502
0.2,164,486.0,0.547,0.502
0.4,160,484.0,0.533,0.499
0.6,163,474.0,0.543,0.489
0.8,165,465.0,0.55,0.48
1.0,171,461.0,0.57,0.476
1.2,173,450.0,0.577,0.464
1.4,178,444.0,0.593,0.458
1.6,185,438.0,0.617,0.452
1.8,187,432.0,0.623,0.446
2.0,190,423.0,0.633,0.437
