coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,117,487.0,0.39,0.503
-1.8,121,490.0,0.403,0.506
-1.6,124,493.0,0.413,0.509
-1.4,123,494.0,0.41,0.51
-1.2,127,493.0,0.423,0.509
-1.0,128,496.0,0.427,0.512
-0.8,127,495.0,0.423,0.511
-0.6,128,491.0,0.427,0.507
-0.4,130,489.0,0.433,0.505
-0.2,132,485.0,0.44,0.501
-0.0,133,486.0,0.443,0.502
0.2,138,489.0,0.46,0.505
0.4,142,488.0,0.473,0.504
0.6,151,489.0,0.503,0.505
0.8,159,480.0,0.53,0.495
1.0,161,476.0,0.537,0.491
1.2,164,468.0,0.547,0.483
1.4,169,464.0,0.563,0.479
1.6,172,454.0,0.573,0.469
1.8,171,446.0,0.57,0.46
2.0,170,432.0,0.567,0.446
