coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,86,134.0,0.287,0.138
-1.8,131,235.0,0.437,0.243
-1.6,128,301.0,0.427,0.311
-1.4,127,356.0,0.423,0.367
-1.2,119,401.0,0.397,0.414
-1.0,122,438.0,0.407,0.452
-0.8,128,455.0,0.427,0.47
-0.6,140,466.0,0.467,0.481
-0.4,141,480.0,0.47,0.495
-0.2,135,485.0,0.45,0.501
-0.0,131,486.0,0.437,0.502
0.2,128,477.0,0.427,0.492
0.4,131,470.0,0.437,0.485
0.6,137,444.0,0.457,0.458
0.8,143,409.0,0.477,0.422
1.0,149,361.0,0.497,0.373
1.2,148,295.0,0.493,0.304
1.4,145,238.0,0.483,0.246
1.6,143,192.0,0.477,0.198
1.8,110,152.0,0.367,0.157
2.0,100,133.0,0.333,0.137
