coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,90,420.0,0.3,0.433
-1.8,92,443.0,0.307,0.457
-1.6,93,450.0,0.31,0.464
-1.4,97,464.0,0.323,0.479
-1.2,105,470.0,0.35,0.485
-1.0,107,469.0,0.357,0.484
-0.8,113,481.0,0.377,0.496
-0.6,120,487.0,0.4,0.503
-0.4,124,489.0,0.413,0.505
-0.2,131,489.0,0.437,0.505
-0.0,138,486.0,0.46,0.502
0.2,138,480.0,0.46,0.495
0.4,142,473.0,0.473,0.488
0.6,147,465.0,0.49,0.48
0.8,151,451.0,0.503,0.465
1.0,156,434.0,0.52,0.448
1.2,160,415.0,0.533,0.428
1.4,162,397.0,0.54,0.41
1.6,161,374.0,0.537,0.386
1.8,160,359.0,0.533,0.37
2.0,162,342.0,0.54,0.353
