coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,119,419.0,0.397,0.432
-1.8,122,432.0,0.407,0.446
-1.6,122,450.0,0.407,0.464
-1.4,127,458.0,0.423,0.473
-1.2,132,468.0,0.44,0.483
-1.0,140,475.0,0.467,0.49
-0.8,148,490.0,0.493,0.506
-0.6,153,492.0,0.51,0.508
-0.4,158,493.0,0.527,0.509
-0.2,166,488.0,0.553,0.504
-0.0,171,486.0,0.57,0.502
0.2,173,481.0,0.577,0.496
0.4,174,470.0,0.58,0.485
0.6,177,449.0,0.59,0.463
0.8,179,434.0,0.597,0.448
1.0,186,416.0,0.62,0.429
1.2,191,404.0,0.637,0.417
1.4,192,389.0,0.64,0.401
1.6,189,380.0,0.63,0.392
1.8,175,355.0,0.583,0.366
2.0,162,333.0,0.54,0.344
