coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,135,388.0,0.45,0.4
-1.8,150,425.0,0.5,0.439
-1.6,160,431.0,0.533,0.445
-1.4,167,451.0,0.557,0.465
-1.2,168,469.0,0.56,0.484
-1.0,166,476.0,0.553,0.491
-0.8,162,483.0,0.54,0.498
-0.6,157,484.0,0.523,0.499
-0.4,149,492.0,0.497,0.508
-0.2,150,491.0,0.5,0.507
-0.0,151,486.0,0.503,0.502
0.2,154,474.0,0.513,0.489
0.4,162,468.0,0.54,0.483
0.6,176,458.0,0.587,0.473
0.8,195,457.0,0.65,0.472
1.0,204,450.0,0.68,0.464
1.2,209,444.0,0.697,0.458
1.4,215,442.0,0.717,0.456
1.6,218,426.0,0.727,0.44
1.8,216,406.0,0.72,0.419
2.0,211,385.0,0.703,0.397
