coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,104,21.0,0.347,0.022
-1.8,110,94.0,0.367,0.097
-1.6,114,206.0,0.38,0.213
-1.4,119,258.0,0.397,0.266
-1.2,115,319.0,0.383,0.329
-1.0,132,385.0,0.44,0.397
-0.8,134,432.0,0.447,0.446
-0.6,125,455.0,0.417,0.47
-0.4,124,480.0,0.413,0.495
-0.2,125,487.0,0.417,0.503
-0.0,123,486.0,0.41,0.502
0.2,122,472.0,0.407,0.487
0.4,132,462.0,0.44,0.477
0.6,144,433.0,0.48,0.447
0.8,168,391.0,0.56,0.404
1.0,163,272.0,0.543,0.281
1.2,130,156.0,0.433,0.161
1.4,110,156.0,0.367,0.161
1.6,110,162.0,0.367,0.167
1.8,110,136.0,0.367,0.14
2.0,88,6.0,0.293,0.006
