coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,108,417.0,0.36,0.43
-1.8,113,434.0,0.377,0.448
-1.6,117,454.0,0.39,0.469
-1.4,118,465.0,0.393,0.48
-1.2,127,463.0,0.423,0.478
-1.0,135,479.0,0.45,0.494
-0.8,137,477.0,0.457,0.492
-0.6,145,480.0,0.483,0.495
-0.4,151,478.0,0.503,0.493
-0.2,154,485.0,0.513,0.501
-0.0,155,486.0,0.517,0.502
0.2,154,481.0,0.513,0.496
0.4,158,479.0,0.527,0.494
0.6,167,466.0,0.557,0.481
0.8,174,468.0,0.58,0.483
1.0,179,457.0,0.597,0.472
1.2,178,454.0,0.593,0.469
1.4,179,442.0,0.597,0.456
1.6,175,424.0,0.583,0.438
1.8,156,399.0,0.52,0.412
2.0,136,356.0,0.453,0.367
