coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,45,39.0,0.15,0.04
-1.8,50,33.0,0.167,0.034
-1.6,88,137.0,0.293,0.141
-1.4,98,263.0,0.327,0.271
-1.2,107,349.0,0.357,0.36
-1.0,124,423.0,0.413,0.437
-0.8,138,448.0,0.46,0.462
-0.6,148,457.0,0.493,0.472
-0.4,150,479.0,0.5,0.494
-0.2,160,483.0,0.533,0.498
-0.0,160,486.0,0.533,0.502
0.2,160,473.0,0.533,0.488
0.4,165,467.0,0.55,0.482
0.6,170,459.0,0.567,0.474
0.8,175,448.0,0.583,0.462
1.0,167,427.0,0.557,0.441
1.2,158,398.0,0.527,0.411
1.4,142,329.0,0.473,0.34
1.6,130,275.0,0.433,0.284
1.8,114,219.0,0.38,0.226
2.0,99,177.0,0.33,0.183
