coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,104,388.0,0.347,0.4
-1.8,120,429.0,0.4,0.443
-1.6,131,446.0,0.437,0.46
-1.4,139,460.0,0.463,0.475
-1.2,137,471.0,0.457,0.486
-1.0,144,475.0,0.48,0.49
-0.8,140,485.0,0.467,0.501
-0.6,138,486.0,0.46,0.502
-0.4,136,496.0,0.453,0.512
-0.2,135,490.0,0.45,0.506
-0.0,133,486.0,0.443,0.502
0.2,134,477.0,0.447,0.492
0.4,135,478.0,0.45,0.493
0.6,141,472.0,0.47,0.487
0.8,141,462.0,0.47,0.477
1.0,143,444.0,0.477,0.458
1.2,138,437.0,0.46,0.451
1.4,136,423.0,0.453,0.437
1.6,129,415.0,0.43,0.428
1.8,122,391.0,0.407,0.404
2.0,139,337.0,0.463,0.348
