coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,112,417.0,0.373,0.43
-1.8,117,433.0,0.39,0.447
-1.6,118,442.0,0.393,0.456
-1.4,120,453.0,0.4,0.467
-1.2,125,464.0,0.417,0.479
-1.0,134,468.0,0.447,0.483
-0.8,132,472.0,0.44,0.487
-0.6,128,480.0,0.427,0.495
-0.4,130,483.0,0.433,0.498
-0.2,134,487.0,0.447,0.503
-0.0,138,486.0,0.46,0.502
0.2,141,477.0,0.47,0.492
0.4,140,472.0,0.467,0.487
0.6,144,466.0,0.48,0.481
0.8,149,447.0,0.497,0.461
1.0,152,426.0,0.507,0.44
1.2,153,413.0,0.51,0.426
1.4,155,408.0,0.517,0.421
1.6,147,399.0,0.49,0.412
1.8,134,370.0,0.447,0.382
2.0,115,313.0,0.383,0.323
