coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,136,440.0,0.453,0.454
-1.8,142,457.0,0.473,0.472
-1.6,138,464.0,0.46,0.479
-1.4,148,473.0,0.493,0.488
-1.2,153,482.0,0.51,0.497
-1.0,153,482.0,0.51,0.497
-0.8,162,488.0,0.54,0.504
-0.6,163,495.0,0.543,0.511
-0.4,167,493.0,0.557,0.509
-0.2,168,495.0,0.56,0.511
-0.0,171,486.0,0.57,0.502
0.2,173,475.0,0.577,0.49
0.4,175,471.0,0.583,0.486
0.6,181,466.0,0.603,0.481
0.8,186,450.0,0.62,0.464
1.0,188,441.0,0.627,0.455
1.2,186,439.0,0.62,0.453
1.4,184,423.0,0.613,0.437
1.6,180,415.0,0.6,0.428
1.8,173,407.0,0.577,0.42
2.0,169,392.0,0.563,0.405
