coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,178,413.0,0.593,0.426
-1.8,174,426.0,0.58,0.44
-1.6,169,444.0,0.563,0.458
-1.4,168,458.0,0.56,0.473
-1.2,168,466.0,0.56,0.481
-1.0,167,473.0,0.557,0.488
-0.8,163,484.0,0.543,0.499
-0.6,157,496.0,0.523,0.512
-0.4,155,500.0,0.517,0.516
-0.2,150,495.0,0.5,0.511
-0.0,151,486.0,0.503,0.502
0.2,148,479.0,0.493,0.494
0.4,149,470.0,0.497,0.485
0.6,158,459.0,0.527,0.474
0.8,168,442.0,0.56,0.456
1.0,178,434.0,0.593,0.448
1.2,185,429.0,0.617,0.443
1.4,192,409.0,0.64,0.422
1.6,209,391.0,0.697,0.404
1.8,222,377.0,0.74,0.389
2.0,222,342.0,0.74,0.353
