coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,130,490.0,0.433,0.506
-1.8,133,487.0,0.443,0.503
-1.6,137,489.0,0.457,0.505
-1.4,137,491.0,0.457,0.507
-1.2,141,494.0,0.47,0.51
-1.0,140,492.0,0.467,0.508
-0.8,141,494.0,0.47,0.51
-0.6,146,492.0,0.487,0.508
-0.4,150,489.0,0.5,0.505
-0.2,156,482.0,0.52,0.497
-0.0,160,486.0,0.533,0.502
0.2,160,486.0,0.533,0.502
0.4,163,482.0,0.543,0.497
0.6,166,479.0,0.553,0.494
0.8,174,472.0,0.58,0.487
1.0,183,467.0,0.61,0.482
1.2,184,458.0,0.613,0.473
1.4,193,447.0,0.643,0.461
1.6,195,443.0,0.65,0.457
1.8,190,433.0,0.633,0.447
2.0,189,421.0,0.63,0.434
