coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,97,388.0,0.323,0.4
-1.8,98,418.0,0.327,0.431
-1.6,101,426.0,0.337,0.44
-1.4,107,437.0,0.357,0.451
-1.2,116,457.0,0.387,0.472
-1.0,117,473.0,0.39,0.488
-0.8,115,484.0,0.383,0.499
-0.6,125,484.0,0.417,0.499
-0.4,121,491.0,0.403,0.507
-0.2,126,487.0,0.42,0.503
-0.0,131,486.0,0.437,0.502
0.2,138,482.0,0.46,0.497
0.4,144,483.0,0.48,0.498
0.6,146,477.0,0.487,0.492
0.8,150,465.0,0.5,0.48
1.0,153,452.0,0.51,0.466
1.2,150,444.0,0.5,0.458
1.4,148,429.0,0.493,0.443
1.6,144,432.0,0.48,0.446
1.8,137,421.0,0.457,0.434
2.0,138,403.0,0.46,0.416
