coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,152,478.0,0.507,0.493
-1.8,149,477.0,0.497,0.492
-1.6,150,478.0,0.5,0.493
-1.4,148,485.0,0.493,0.501
-1.2,147,485.0,0.49,0.501
-1.0,147,488.0,0.49,0.504
-0.8,146,491.0,0.487,0.507
-0.6,150,493.0,0.5,0.509
-0.4,153,494.0,0.51,0.51
-0.2,164,488.0,0.547,0.504
-0.0,171,486.0,0.57,0.502
0.2,174,482.0,0.58,0.497
0.4,180,476.0,0.6,0.491
0.6,184,474.0,0.613,0.489
0.8,185,470.0,0.617,0.485
1.0,191,456.0,0.637,0.471
1.2,193,456.0,0.643,0.471
1.4,198,454.0,0.66,0.469
1.6,201,458.0,0.67,0.473
1.8,197,442.0,0.657,0.456
2.0,198,427.0,0.66,0.441
