coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,152,480.0,0.507,0.495
-1.8,149,479.0,0.497,0.494
-1.6,150,479.0,0.5,0.494
-1.4,148,485.0,0.493,0.501
-1.2,148,485.0,0.493,0.501
-1.0,147,489.0,0.49,0.505
-0.8,146,491.0,0.487,0.507
-0.6,150,493.0,0.5,0.509
-0.4,153,493.0,0.51,0.509
-0.2,164,488.0,0.547,0.504
-0.0,171,486.0,0.57,0.502
0.2,174,483.0,0.58,0.498
0.4,180,476.0,0.6,0.491
0.6,184,474.0,0.613,0.489
0.8,186,470.0,0.62,0.485
1.0,191,456.0,0.637,0.471
1.2,194,456.0,0.647,0.471
1.4,198,452.0,0.66,0.466
1.6,201,457.0,0.67,0.472
1.8,197,443.0,0.657,0.457
2.0,197,427.0,0.657,0.441
