coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,130,490.0,0.433,0.506
-1.8,133,487.0,0.443,0.503
-1.6,137,489.0,0.457,0.505
-1.4,137,490.0,0.457,0.506
-1.2,141,493.0,0.47,0.509
-1.0,140,493.0,0.467,0.509
-0.8,142,493.0,0.473,0.509
-0.6,147,492.0,0.49,0.508
-0.4,150,490.0,0.5,0.506
-0.2,156,482.0,0.52,0.497
-0.0,160,486.0,0.533,0.502
0.2,160,486.0,0.533,0.502
0.4,163,482.0,0.543,0.497
0.6,166,479.0,0.553,0.494
0.8,174,472.0,0.58,0.487
1.0,185,467.0,0.617,0.482
1.2,184,458.0,0.613,0.473
1.4,193,447.0,0.643,0.461
1.6,194,444.0,0.647,0.458
1.8,190,433.0,0.633,0.447
2.0,189,420.0,0.63,0.433
