layer,bbq_correct,bbq_accuracy
1,117,0.39
2,174,0.5838926174496645
3,175,0.587248322147651
4,187,0.62751677852349
5,192,0.6442953020134228
6,182,0.610738255033557
7,188,0.6308724832214765
8,193,0.6476510067114094
9,193,0.6476510067114094
10,197,0.6610738255033557
11,195,0.6543624161073825
12,192,0.6442953020134228
13,196,0.6577181208053692
14,197,0.6610738255033557
15,198,0.6644295302013423
16,200,0.6711409395973155
17,203,0.6812080536912751
18,204,0.6845637583892618
19,204,0.6845637583892618
20,203,0.6812080536912751
21,203,0.6812080536912751
22,203,0.6812080536912751
23,203,0.6812080536912751
24,203,0.6812080536912751
25,203,0.6812080536912751
26,203,0.6812080536912751
27,203,0.6812080536912751
28,203,0.6812080536912751
29,203,0.6812080536912751
30,203,0.6812080536912751
31,203,0.6812080536912751
