layer,bbq_correct,bbq_accuracy
1,164,0.5466666666666666
2,160,0.5333333333333333
3,179,0.5966666666666667
4,193,0.6433333333333333
5,188,0.6266666666666667
6,203,0.6766666666666666
7,190,0.6333333333333333
8,194,0.6466666666666666
9,192,0.64
10,191,0.6366666666666667
11,194,0.6466666666666666
12,200,0.6666666666666666
13,193,0.6433333333333333
14,198,0.66
15,200,0.6666666666666666
16,200,0.6666666666666666
17,203,0.6766666666666666
18,203,0.6766666666666666
19,203,0.6766666666666666
20,203,0.6766666666666666
21,202,0.6733333333333333
22,203,0.6766666666666666
23,203,0.6766666666666666
24,203,0.6766666666666666
25,203,0.6766666666666666
26,203,0.6766666666666666
27,202,0.6733333333333333
28,203,0.6766666666666666
29,203,0.6766666666666666
30,203,0.6766666666666666
31,203,0.6766666666666666
