layer,bbq_correct,bbq_accuracy
1,168,0.56
2,180,0.6
3,206,0.6866666666666666
4,210,0.7
5,211,0.7033333333333334
6,206,0.6866666666666666
7,198,0.66
8,199,0.6633333333333333
9,210,0.7
10,207,0.69
11,211,0.7033333333333334
12,206,0.6866666666666666
13,202,0.6733333333333333
14,201,0.67
15,201,0.67
16,205,0.6833333333333333
17,202,0.6733333333333333
18,203,0.6766666666666666
19,202,0.6733333333333333
20,201,0.67
21,202,0.6733333333333333
22,200,0.6666666666666666
23,202,0.6733333333333333
24,202,0.6733333333333333
25,202,0.6733333333333333
26,203,0.6766666666666666
27,202,0.6733333333333333
28,203,0.6766666666666666
29,203,0.6766666666666666
30,203,0.6766666666666666
31,203,0.6766666666666666
