layer,bbq_correct,bbq_accuracy
1,121,0.4033333333333333
2,144,0.48322147651006714
3,174,0.5838926174496645
4,185,0.6208053691275168
5,187,0.62751677852349
6,178,0.5973154362416108
7,207,0.6946308724832215
8,213,0.714765100671141
9,207,0.6946308724832215
10,182,0.610738255033557
11,186,0.6241610738255033
12,196,0.6577181208053692
13,186,0.6241610738255033
14,195,0.6543624161073825
15,195,0.6543624161073825
16,198,0.6644295302013423
17,196,0.6577181208053692
18,196,0.6577181208053692
19,196,0.6577181208053692
20,197,0.6610738255033557
21,198,0.6644295302013423
22,198,0.6644295302013423
23,197,0.6610738255033557
24,198,0.6644295302013423
25,197,0.6610738255033557
26,197,0.6610738255033557
27,197,0.6610738255033557
28,197,0.6610738255033557
29,197,0.6610738255033557
30,197,0.6610738255033557
31,195,0.6543624161073825
