layer,bbq_correct,bbq_accuracy
1,134,0.44666666666666666
2,173,0.5824915824915825
3,154,0.5292096219931272
4,178,0.6116838487972509
5,188,0.6460481099656358
6,194,0.6666666666666666
7,205,0.7044673539518901
8,207,0.711340206185567
9,200,0.6872852233676976
10,188,0.6460481099656358
11,178,0.6116838487972509
12,193,0.6632302405498282
13,190,0.6529209621993127
14,188,0.6460481099656358
15,191,0.6563573883161512
16,196,0.6735395189003437
17,193,0.6632302405498282
18,192,0.6597938144329897
19,194,0.6666666666666666
20,193,0.6632302405498282
21,194,0.6666666666666666
22,194,0.6666666666666666
23,194,0.6666666666666666
24,193,0.6632302405498282
25,194,0.6666666666666666
26,194,0.6666666666666666
27,192,0.6597938144329897
28,193,0.6632302405498282
29,193,0.6632302405498282
30,192,0.6597938144329897
31,193,0.6632302405498282
