layer,bbq_correct,bbq_accuracy
1,156,0.52
2,151,0.5033333333333333
3,205,0.6833333333333333
4,199,0.6633333333333333
5,195,0.65
6,198,0.66
7,214,0.7133333333333334
8,192,0.64
9,203,0.6766666666666666
10,191,0.6366666666666667
11,184,0.6133333333333333
12,192,0.6421404682274248
13,192,0.6421404682274248
14,196,0.6555183946488294
15,194,0.6488294314381271
16,198,0.6622073578595318
17,194,0.6488294314381271
18,196,0.6555183946488294
19,195,0.6521739130434783
20,197,0.6588628762541806
21,197,0.6588628762541806
22,196,0.6555183946488294
23,197,0.6588628762541806
24,196,0.6555183946488294
25,197,0.6588628762541806
26,197,0.6588628762541806
27,196,0.6555183946488294
28,197,0.6588628762541806
29,197,0.6588628762541806
30,197,0.6588628762541806
31,198,0.6622073578595318
