layer,bbq_correct,bbq_accuracy
1,155,0.5166666666666667
2,155,0.5166666666666667
3,201,0.67
4,198,0.66
5,192,0.64
6,197,0.6566666666666666
7,214,0.7133333333333334
8,193,0.6433333333333333
9,202,0.6733333333333333
10,189,0.63
11,186,0.62
12,195,0.6521739130434783
13,192,0.6421404682274248
14,198,0.6622073578595318
15,194,0.6488294314381271
16,198,0.6622073578595318
17,195,0.6521739130434783
18,196,0.6555183946488294
19,195,0.6521739130434783
20,196,0.6555183946488294
21,196,0.6555183946488294
22,195,0.6521739130434783
23,197,0.6588628762541806
24,196,0.6555183946488294
25,197,0.6588628762541806
26,197,0.6588628762541806
27,197,0.6588628762541806
28,197,0.6588628762541806
29,197,0.6588628762541806
30,197,0.6588628762541806
31,197,0.6588628762541806
