layer,bbq_correct,bbq_accuracy
1,175,0.5833333333333334
2,185,0.6166666666666667
3,190,0.6333333333333333
4,185,0.6166666666666667
5,190,0.6333333333333333
6,202,0.6733333333333333
7,191,0.6387959866220736
8,193,0.6454849498327759
9,192,0.6421404682274248
10,188,0.6287625418060201
11,190,0.6354515050167224
12,189,0.6321070234113713
13,196,0.6555183946488294
14,190,0.6354515050167224
15,190,0.6354515050167224
16,190,0.6354515050167224
17,190,0.6354515050167224
18,190,0.6354515050167224
19,191,0.6387959866220736
20,189,0.6321070234113713
21,189,0.6321070234113713
22,190,0.6354515050167224
23,190,0.6354515050167224
24,192,0.6421404682274248
25,191,0.6387959866220736
26,191,0.6387959866220736
27,190,0.6354515050167224
28,190,0.6354515050167224
29,190,0.6354515050167224
30,190,0.6354515050167224
31,190,0.6354515050167224
