layer,bbq_correct,bbq_accuracy
1,173,0.5766666666666667
2,178,0.5933333333333334
3,188,0.6308724832214765
4,188,0.6308724832214765
5,194,0.6510067114093959
6,207,0.6946308724832215
7,197,0.6610738255033557
8,191,0.6409395973154363
9,183,0.6140939597315436
10,196,0.6577181208053692
11,194,0.6531986531986532
12,189,0.6363636363636364
13,193,0.6498316498316499
14,188,0.632996632996633
15,189,0.6363636363636364
16,191,0.6430976430976431
17,198,0.6666666666666666
18,191,0.6430976430976431
19,193,0.6498316498316499
20,193,0.6498316498316499
21,190,0.6397306397306397
22,190,0.6397306397306397
23,190,0.6397306397306397
24,190,0.6397306397306397
25,190,0.6397306397306397
26,191,0.6430976430976431
27,190,0.6397306397306397
28,190,0.6397306397306397
29,191,0.6430976430976431
30,190,0.6397306397306397
31,191,0.6430976430976431
