layer,bbq_correct,bbq_accuracy
1,147,0.49
2,205,0.6833333333333333
3,200,0.6666666666666666
4,192,0.64
5,195,0.65
6,184,0.6133333333333333
7,183,0.61
8,188,0.6266666666666667
9,204,0.68
10,205,0.6833333333333333
11,211,0.7033333333333334
12,194,0.6466666666666666
13,192,0.64
14,198,0.66
15,196,0.6533333333333333
16,198,0.66
17,195,0.65
18,192,0.6421404682274248
19,190,0.6354515050167224
20,190,0.6354515050167224
21,192,0.6421404682274248
22,191,0.6387959866220736
23,190,0.6354515050167224
24,190,0.6354515050167224
25,190,0.6354515050167224
26,190,0.6354515050167224
27,190,0.6354515050167224
28,191,0.6387959866220736
29,190,0.6354515050167224
30,190,0.6354515050167224
31,190,0.6354515050167224
