layer,bbq_correct,bbq_accuracy
1,147,0.49
2,200,0.6666666666666666
3,200,0.6688963210702341
4,195,0.6521739130434783
5,193,0.6454849498327759
6,184,0.6153846153846154
7,184,0.6153846153846154
8,187,0.6254180602006689
9,206,0.6889632107023411
10,205,0.68561872909699
11,204,0.6822742474916388
12,192,0.6421404682274248
13,190,0.6354515050167224
14,198,0.6622073578595318
15,197,0.6588628762541806
16,199,0.6655518394648829
17,193,0.6454849498327759
18,191,0.6409395973154363
19,190,0.6375838926174496
20,190,0.6375838926174496
21,192,0.6442953020134228
22,190,0.6375838926174496
23,190,0.6375838926174496
24,190,0.6375838926174496
25,190,0.6375838926174496
26,190,0.6375838926174496
27,190,0.6375838926174496
28,191,0.6409395973154363
29,190,0.6375838926174496
30,190,0.6375838926174496
31,190,0.6375838926174496
