layer,bbq_correct,bbq_accuracy
1,173,0.5766666666666667
2,177,0.59
3,199,0.6633333333333333
4,169,0.5728813559322034
5,155,0.5272108843537415
6,178,0.6075085324232082
7,174,0.6062717770034843
8,165,0.5769230769230769
9,165,0.5978260869565217
10,179,0.6509090909090909
11,188,0.6836363636363636
12,171,0.6218181818181818
13,180,0.6545454545454545
14,177,0.6436363636363637
15,177,0.6436363636363637
16,175,0.6363636363636364
17,177,0.6436363636363637
18,177,0.6436363636363637
19,177,0.6436363636363637
20,174,0.6327272727272727
21,175,0.6363636363636364
22,174,0.6327272727272727
23,177,0.6436363636363637
24,176,0.64
25,178,0.6472727272727272
26,177,0.6436363636363637
27,176,0.64
28,176,0.64
29,175,0.6363636363636364
30,176,0.64
31,177,0.6436363636363637
