layer,bbq_correct,bbq_accuracy
1,176,0.5866666666666667
2,166,0.5533333333333333
3,168,0.5833333333333334
4,170,0.6115107913669064
5,148,0.5401459854014599
6,165,0.6043956043956044
7,144,0.5294117647058824
8,159,0.5867158671586716
9,154,0.5703703703703704
10,160,0.5970149253731343
11,171,0.6404494382022472
12,166,0.6217228464419475
13,175,0.6554307116104869
14,179,0.6704119850187266
15,179,0.6704119850187266
16,177,0.6629213483146067
17,176,0.6591760299625468
18,174,0.651685393258427
19,175,0.6554307116104869
20,176,0.6591760299625468
21,176,0.6591760299625468
22,175,0.6554307116104869
23,175,0.6554307116104869
24,175,0.6554307116104869
25,174,0.651685393258427
26,173,0.6479400749063671
27,173,0.6479400749063671
28,174,0.651685393258427
29,174,0.651685393258427
30,173,0.6479400749063671
31,172,0.6441947565543071
