layer,bbq_correct,bbq_accuracy
1,141,0.47
2,144,0.48
3,166,0.5533333333333333
4,162,0.5491525423728814
5,187,0.6426116838487973
6,184,0.6344827586206897
7,172,0.607773851590106
8,176,0.6263345195729537
9,174,0.6214285714285714
10,164,0.5857142857142857
11,195,0.6989247311827957
12,190,0.6810035842293907
13,187,0.6702508960573477
14,187,0.6702508960573477
15,180,0.6451612903225806
16,182,0.6523297491039427
17,178,0.6379928315412187
18,179,0.6415770609318996
19,178,0.6379928315412187
20,182,0.6523297491039427
21,182,0.6523297491039427
22,182,0.6523297491039427
23,182,0.6523297491039427
24,181,0.6487455197132617
25,181,0.6487455197132617
26,180,0.6451612903225806
27,181,0.6487455197132617
28,180,0.6451612903225806
29,182,0.6523297491039427
30,182,0.6523297491039427
31,182,0.6523297491039427
