layer,bbq_correct,bbq_accuracy
1,140,0.4666666666666667
2,140,0.4666666666666667
3,168,0.56
4,166,0.5608108108108109
5,188,0.6416382252559727
6,181,0.6198630136986302
7,171,0.6
8,175,0.6183745583038869
9,175,0.6205673758865248
10,164,0.5815602836879432
11,195,0.693950177935943
12,189,0.6725978647686833
13,189,0.6725978647686833
14,189,0.6725978647686833
15,181,0.6441281138790036
16,183,0.6512455516014235
17,178,0.6334519572953736
18,178,0.6357142857142857
19,179,0.6392857142857142
20,181,0.6464285714285715
21,182,0.65
22,182,0.65
23,182,0.65
24,181,0.6464285714285715
25,181,0.6464285714285715
26,180,0.6428571428571429
27,181,0.6464285714285715
28,180,0.6428571428571429
29,182,0.65
30,182,0.65
31,182,0.65
