layer,bbq_correct,bbq_accuracy
1,143,0.4766666666666667
2,241,0.8253424657534246
3,234,0.8013698630136986
4,244,0.8356164383561644
5,253,0.8664383561643836
6,259,0.886986301369863
7,240,0.821917808219178
8,251,0.8625429553264605
9,246,0.845360824742268
10,254,0.872852233676976
11,247,0.8487972508591065
12,251,0.8655172413793103
13,250,0.8620689655172413
14,251,0.8655172413793103
15,250,0.8620689655172413
16,251,0.8655172413793103
17,256,0.8827586206896552
18,254,0.8758620689655172
19,252,0.8689655172413793
20,254,0.8758620689655172
21,253,0.8724137931034482
22,254,0.8758620689655172
23,254,0.8758620689655172
24,254,0.8758620689655172
25,254,0.8758620689655172
26,254,0.8758620689655172
27,254,0.8758620689655172
28,254,0.8758620689655172
29,254,0.8758620689655172
30,253,0.8724137931034482
31,254,0.8758620689655172
