layer,bbq_correct,bbq_accuracy
1,166,0.5533333333333333
2,246,0.8512110726643599
3,232,0.8027681660899654
4,238,0.8235294117647058
5,251,0.8685121107266436
6,253,0.8784722222222222
7,249,0.867595818815331
8,245,0.8536585365853658
9,250,0.8710801393728222
10,253,0.8815331010452961
11,245,0.8536585365853658
12,245,0.8566433566433567
13,250,0.8741258741258742
14,251,0.8776223776223776
15,249,0.8706293706293706
16,251,0.8776223776223776
17,251,0.8776223776223776
18,249,0.8706293706293706
19,248,0.8671328671328671
20,246,0.8601398601398601
21,247,0.8636363636363636
22,247,0.8636363636363636
23,248,0.8671328671328671
24,249,0.8706293706293706
25,248,0.8671328671328671
26,248,0.8671328671328671
27,248,0.8671328671328671
28,248,0.8671328671328671
29,248,0.8671328671328671
30,249,0.8706293706293706
31,249,0.8706293706293706
