layer,bbq_correct,bbq_accuracy
1,167,0.5566666666666666
2,258,0.86
3,256,0.8533333333333334
4,260,0.8666666666666667
5,267,0.89
6,251,0.8366666666666667
7,248,0.8266666666666667
8,256,0.8533333333333334
9,270,0.9
10,264,0.88
11,259,0.8662207357859532
12,259,0.8691275167785235
13,257,0.8624161073825504
14,261,0.8758389261744967
15,260,0.87248322147651
16,261,0.8758389261744967
17,261,0.8758389261744967
18,259,0.8691275167785235
19,260,0.87248322147651
20,258,0.8657718120805369
21,259,0.8691275167785235
22,258,0.8657718120805369
23,260,0.87248322147651
24,259,0.8691275167785235
25,259,0.8691275167785235
26,259,0.8691275167785235
27,260,0.87248322147651
28,259,0.8691275167785235
29,260,0.87248322147651
30,260,0.87248322147651
31,258,0.8657718120805369
