layer,bbq_correct,bbq_accuracy
1,166,0.5533333333333333
2,255,0.85
3,254,0.8466666666666667
4,261,0.87
5,267,0.89
6,249,0.83
7,249,0.83
8,257,0.8566666666666667
9,274,0.9133333333333333
10,265,0.8833333333333333
11,263,0.8766666666666667
12,259,0.8662207357859532
13,260,0.8695652173913043
14,263,0.8795986622073578
15,262,0.8762541806020067
16,264,0.882943143812709
17,264,0.882943143812709
18,260,0.8695652173913043
19,262,0.8762541806020067
20,259,0.8662207357859532
21,259,0.8662207357859532
22,259,0.8662207357859532
23,259,0.8662207357859532
24,261,0.8729096989966555
25,260,0.8695652173913043
26,260,0.8695652173913043
27,261,0.8729096989966555
28,261,0.8729096989966555
29,261,0.8729096989966555
30,261,0.8729096989966555
31,260,0.8695652173913043
