layer,bbq_correct,bbq_accuracy
1,129,0.43
2,182,0.6893939393939394
3,188,0.7121212121212122
4,168,0.6363636363636364
5,175,0.6628787878787878
6,188,0.7121212121212122
7,166,0.6287878787878788
8,183,0.6931818181818182
9,175,0.6653992395437263
10,179,0.6806083650190115
11,179,0.6806083650190115
12,173,0.6577946768060836
13,181,0.688212927756654
14,185,0.7034220532319392
15,186,0.7072243346007605
16,188,0.714828897338403
17,188,0.714828897338403
18,186,0.7072243346007605
19,189,0.7186311787072244
20,188,0.714828897338403
21,187,0.7110266159695817
22,189,0.7186311787072244
23,190,0.7224334600760456
24,189,0.7186311787072244
25,189,0.7186311787072244
26,189,0.7186311787072244
27,188,0.714828897338403
28,188,0.714828897338403
29,188,0.714828897338403
30,188,0.714828897338403
31,187,0.7110266159695817
