layer,bbq_correct,bbq_accuracy
1,168,0.56
2,242,0.8066666666666666
3,224,0.7466666666666667
4,215,0.7166666666666667
5,216,0.72
6,206,0.6866666666666666
7,206,0.6866666666666666
8,205,0.6833333333333333
9,226,0.7533333333333333
10,224,0.7466666666666667
11,231,0.77
12,213,0.71
13,223,0.7433333333333333
14,222,0.74
15,220,0.7333333333333333
16,218,0.7266666666666667
17,216,0.72
18,216,0.72
19,218,0.7266666666666667
20,217,0.7233333333333334
21,216,0.72
22,217,0.7233333333333334
23,217,0.7233333333333334
24,218,0.7266666666666667
25,216,0.72
26,218,0.7266666666666667
27,219,0.73
28,218,0.7266666666666667
29,219,0.73
30,220,0.7333333333333333
31,220,0.7333333333333333
