layer,bbq_correct,bbq_accuracy
1,167,0.5566666666666666
2,235,0.7833333333333333
3,226,0.7533333333333333
4,218,0.7266666666666667
5,216,0.72
6,203,0.6766666666666666
7,205,0.6833333333333333
8,205,0.6833333333333333
9,228,0.76
10,223,0.7433333333333333
11,231,0.77
12,212,0.7066666666666667
13,224,0.7466666666666667
14,225,0.75
15,220,0.7333333333333333
16,217,0.7233333333333334
17,218,0.7266666666666667
18,217,0.7233333333333334
19,220,0.7333333333333333
20,220,0.7333333333333333
21,217,0.7233333333333334
22,219,0.73
23,217,0.7233333333333334
24,218,0.7266666666666667
25,218,0.7266666666666667
26,219,0.73
27,220,0.7333333333333333
28,218,0.7266666666666667
29,220,0.7333333333333333
30,220,0.7333333333333333
31,219,0.73
