layer,bbq_correct,bbq_accuracy
1,215,0.7166666666666667
2,192,0.6881720430107527
3,216,0.7769784172661871
4,229,0.8297101449275363
5,228,0.8290909090909091
6,241,0.8795620437956204
7,245,0.8941605839416058
8,232,0.8467153284671532
9,246,0.8978102189781022
10,258,0.9416058394160584
11,247,0.9014598540145985
12,252,0.9230769230769231
13,244,0.8937728937728938
14,239,0.8754578754578755
15,235,0.8608058608058609
16,238,0.8717948717948718
17,238,0.8717948717948718
18,240,0.8791208791208791
19,238,0.8717948717948718
20,240,0.8791208791208791
21,239,0.8754578754578755
22,240,0.8791208791208791
23,239,0.8754578754578755
24,239,0.8754578754578755
25,238,0.8717948717948718
26,238,0.8717948717948718
27,238,0.8717948717948718
28,238,0.8717948717948718
29,238,0.8717948717948718
30,238,0.8717948717948718
31,237,0.8681318681318682
