layer,bbq_correct,bbq_accuracy
1,224,0.7466666666666667
2,255,0.8557046979865772
3,213,0.714765100671141
4,228,0.7676767676767676
5,253,0.8518518518518519
6,254,0.8552188552188552
7,248,0.835016835016835
8,254,0.8581081081081081
9,266,0.8986486486486487
10,257,0.8682432432432432
11,262,0.8851351351351351
12,262,0.8851351351351351
13,266,0.9016949152542373
14,264,0.8949152542372881
15,259,0.8779661016949153
16,251,0.8508474576271187
17,255,0.864406779661017
18,256,0.8677966101694915
19,256,0.8677966101694915
20,258,0.8745762711864407
21,259,0.8779661016949153
22,258,0.8745762711864407
23,257,0.8711864406779661
24,255,0.864406779661017
25,255,0.864406779661017
26,255,0.864406779661017
27,256,0.8677966101694915
28,255,0.864406779661017
29,258,0.8745762711864407
30,256,0.8677966101694915
31,258,0.8745762711864407
