layer,bbq_correct,bbq_accuracy
1,99,0.33
2,264,0.9263157894736842
3,265,0.9298245614035088
4,268,0.9403508771929825
5,243,0.8526315789473684
6,240,0.8421052631578947
7,239,0.8385964912280702
8,241,0.8485915492957746
9,230,0.8098591549295775
10,224,0.7887323943661971
11,234,0.8268551236749117
12,246,0.8692579505300353
13,250,0.8833922261484098
14,247,0.872791519434629
15,244,0.8621908127208481
16,244,0.8621908127208481
17,247,0.872791519434629
18,245,0.8657243816254417
19,247,0.872791519434629
20,247,0.872791519434629
21,247,0.872791519434629
22,245,0.8657243816254417
23,247,0.872791519434629
24,244,0.8621908127208481
25,245,0.8657243816254417
26,246,0.8692579505300353
27,244,0.8621908127208481
28,244,0.8621908127208481
29,243,0.8586572438162544
30,244,0.8621908127208481
31,245,0.8657243816254417
