layer,bbq_correct,bbq_accuracy
1,106,0.35333333333333333
2,264,0.9198606271777003
3,268,0.9337979094076655
4,268,0.9337979094076655
5,244,0.8501742160278746
6,244,0.8501742160278746
7,243,0.8466898954703833
8,243,0.8496503496503497
9,230,0.8041958041958042
10,231,0.8076923076923077
11,241,0.8426573426573427
12,253,0.8846153846153846
13,244,0.8531468531468531
14,245,0.8566433566433567
15,245,0.8566433566433567
16,244,0.8531468531468531
17,250,0.8741258741258742
18,248,0.8671328671328671
19,249,0.8706293706293706
20,248,0.8671328671328671
21,249,0.8706293706293706
22,247,0.8636363636363636
23,249,0.8706293706293706
24,247,0.8636363636363636
25,248,0.8671328671328671
26,248,0.8671328671328671
27,247,0.8636363636363636
28,248,0.8671328671328671
29,247,0.8636363636363636
30,245,0.8566433566433567
31,247,0.8636363636363636
