layer,bbq_correct,bbq_accuracy
1,0,0.0
2,124,0.41333333333333333
3,114,0.38
4,143,0.4766666666666667
5,132,0.44
6,137,0.45666666666666667
7,141,0.47
8,124,0.41333333333333333
9,114,0.38
10,144,0.48
11,124,0.41333333333333333
12,128,0.4266666666666667
13,134,0.44666666666666666
14,129,0.43
15,131,0.43666666666666665
16,133,0.44333333333333336
17,129,0.43
18,127,0.42333333333333334
19,124,0.41333333333333333
20,121,0.4033333333333333
21,123,0.41
22,122,0.4066666666666667
23,122,0.4066666666666667
24,123,0.41
25,123,0.41
26,123,0.41
27,123,0.41
28,124,0.41333333333333333
29,123,0.41
30,123,0.41
31,123,0.41
