layer,bbq_correct,bbq_accuracy
1,0,0.0
2,95,0.31666666666666665
3,163,0.5433333333333333
4,151,0.5033333333333333
5,122,0.4066666666666667
6,126,0.42
7,137,0.45666666666666667
8,109,0.36333333333333334
9,101,0.33666666666666667
10,123,0.41
11,106,0.35333333333333333
12,122,0.4066666666666667
13,127,0.42333333333333334
14,131,0.43666666666666665
15,126,0.42
16,126,0.42
17,127,0.42333333333333334
18,127,0.42333333333333334
19,124,0.41333333333333333
20,123,0.41
21,122,0.4066666666666667
22,122,0.4066666666666667
23,123,0.41
24,123,0.41
25,123,0.41
26,123,0.41
27,123,0.41
28,123,0.41
29,123,0.41
30,123,0.41
31,123,0.41
