layer,bbq_correct,bbq_accuracy
1,0,0.0
2,101,0.33666666666666667
3,145,0.48333333333333334
4,157,0.5233333333333333
5,159,0.53
6,158,0.5266666666666666
7,138,0.46
8,132,0.44
9,144,0.48
10,147,0.49
11,148,0.49333333333333335
12,147,0.49
13,155,0.5166666666666667
14,148,0.49333333333333335
15,148,0.49333333333333335
16,153,0.51
17,155,0.5166666666666667
18,156,0.52
19,157,0.5233333333333333
20,153,0.51
21,160,0.5333333333333333
22,160,0.5333333333333333
23,160,0.5333333333333333
24,158,0.5266666666666666
25,157,0.5233333333333333
26,158,0.5266666666666666
27,158,0.5266666666666666
28,157,0.5233333333333333
29,155,0.5166666666666667
30,155,0.5166666666666667
31,157,0.5233333333333333
