layer,bbq_correct,bbq_accuracy
1,0,0.0
2,77,0.25666666666666665
3,160,0.5333333333333333
4,174,0.58
5,157,0.5233333333333333
6,179,0.5966666666666667
7,158,0.5266666666666666
8,142,0.47333333333333333
9,142,0.47333333333333333
10,148,0.49333333333333335
11,144,0.48
12,152,0.5066666666666667
13,152,0.5066666666666667
14,148,0.49333333333333335
15,152,0.5066666666666667
16,150,0.5
17,152,0.5066666666666667
18,152,0.5066666666666667
19,152,0.5066666666666667
20,152,0.5066666666666667
21,152,0.5066666666666667
22,152,0.5066666666666667
23,152,0.5066666666666667
24,152,0.5066666666666667
25,151,0.5033333333333333
26,152,0.5066666666666667
27,152,0.5066666666666667
28,153,0.51
29,153,0.51
30,154,0.5133333333333333
31,153,0.51
