layer,bbq_correct,bbq_accuracy
1,0,0.0
2,119,0.39666666666666667
3,108,0.36
4,152,0.5066666666666667
5,156,0.52
6,145,0.48333333333333334
7,136,0.4533333333333333
8,126,0.42
9,137,0.45666666666666667
10,149,0.49666666666666665
11,158,0.5266666666666666
12,153,0.51
13,171,0.57
14,162,0.54
15,158,0.5266666666666666
16,152,0.5066666666666667
17,152,0.5066666666666667
18,156,0.52
19,157,0.5233333333333333
20,154,0.5133333333333333
21,154,0.5133333333333333
22,157,0.5233333333333333
23,155,0.5166666666666667
24,154,0.5133333333333333
25,155,0.5166666666666667
26,155,0.5166666666666667
27,155,0.5166666666666667
28,156,0.52
29,155,0.5166666666666667
30,154,0.5133333333333333
31,154,0.5133333333333333
