layer,bbq_correct,bbq_accuracy
1,16,0.05333333333333334
2,98,0.32666666666666666
3,124,0.41333333333333333
4,145,0.48333333333333334
5,164,0.5466666666666666
6,148,0.49333333333333335
7,135,0.45
8,142,0.47333333333333333
9,157,0.5233333333333333
10,167,0.5566666666666666
11,155,0.5166666666666667
12,160,0.5333333333333333
13,171,0.57
14,165,0.55
15,166,0.5533333333333333
16,165,0.55
17,164,0.5466666666666666
18,162,0.54
19,162,0.54
20,162,0.54
21,161,0.5366666666666666
22,160,0.5333333333333333
23,160,0.5333333333333333
24,160,0.5333333333333333
25,160,0.5333333333333333
26,160,0.5333333333333333
27,160,0.5333333333333333
28,161,0.5366666666666666
29,161,0.5366666666666666
30,160,0.5333333333333333
31,161,0.5366666666666666
