layer,bbq_correct,bbq_accuracy
1,10,0.03333333333333333
2,68,0.22666666666666666
3,146,0.4866666666666667
4,167,0.5566666666666666
5,122,0.4066666666666667
6,130,0.43333333333333335
7,117,0.39
8,109,0.36333333333333334
9,141,0.47
10,152,0.5066666666666667
11,136,0.4533333333333333
12,140,0.4666666666666667
13,159,0.53
14,153,0.51
15,157,0.5233333333333333
16,155,0.5166666666666667
17,157,0.5233333333333333
18,158,0.5266666666666666
19,160,0.5333333333333333
20,161,0.5366666666666666
21,161,0.5366666666666666
22,161,0.5366666666666666
23,161,0.5366666666666666
24,162,0.54
25,161,0.5366666666666666
26,160,0.5333333333333333
27,160,0.5333333333333333
28,161,0.5366666666666666
29,161,0.5366666666666666
30,161,0.5366666666666666
31,162,0.54
