layer,bbq_correct,bbq_accuracy
1,7,0.023333333333333334
2,94,0.31333333333333335
3,163,0.5433333333333333
4,159,0.53
5,154,0.5133333333333333
6,157,0.5233333333333333
7,164,0.5466666666666666
8,141,0.47
9,159,0.53
10,144,0.48
11,162,0.54
12,162,0.54
13,177,0.59
14,178,0.5933333333333334
15,172,0.5733333333333334
16,166,0.5533333333333333
17,171,0.57
18,167,0.5566666666666666
19,160,0.5333333333333333
20,160,0.5333333333333333
21,160,0.5333333333333333
22,160,0.5333333333333333
23,161,0.5366666666666666
24,161,0.5366666666666666
25,160,0.5333333333333333
26,160,0.5333333333333333
27,160,0.5333333333333333
28,161,0.5366666666666666
29,161,0.5366666666666666
30,161,0.5366666666666666
31,161,0.5366666666666666
