layer,bbq_correct,bbq_accuracy
1,0,0.0
2,86,0.2866666666666667
3,133,0.44333333333333336
4,140,0.4666666666666667
5,140,0.4666666666666667
6,121,0.4033333333333333
7,107,0.3566666666666667
8,123,0.41
9,121,0.4033333333333333
10,137,0.45666666666666667
11,134,0.44666666666666666
12,135,0.45
13,161,0.5366666666666666
14,149,0.49666666666666665
15,155,0.5166666666666667
16,143,0.4766666666666667
17,139,0.4633333333333333
18,133,0.44333333333333336
19,134,0.44666666666666666
20,133,0.44333333333333336
21,133,0.44333333333333336
22,133,0.44333333333333336
23,133,0.44333333333333336
24,133,0.44333333333333336
25,134,0.44666666666666666
26,134,0.44666666666666666
27,134,0.44666666666666666
28,134,0.44666666666666666
29,134,0.44666666666666666
30,134,0.44666666666666666
31,134,0.44666666666666666
