layer,bbq_correct,bbq_accuracy
1,42,0.14
2,3,0.01
3,112,0.37333333333333335
4,108,0.36
5,131,0.43666666666666665
6,143,0.4766666666666667
7,136,0.4533333333333333
8,115,0.38333333333333336
9,117,0.39
10,130,0.43333333333333335
11,125,0.4166666666666667
12,129,0.43
13,137,0.45666666666666667
14,134,0.44666666666666666
15,136,0.4533333333333333
16,135,0.45
17,132,0.44
18,133,0.44333333333333336
19,133,0.44333333333333336
20,135,0.45
21,134,0.44666666666666666
22,135,0.45
23,135,0.45
24,133,0.44333333333333336
25,134,0.44666666666666666
26,133,0.44333333333333336
27,133,0.44333333333333336
28,133,0.44333333333333336
29,133,0.44333333333333336
30,133,0.44333333333333336
31,134,0.44666666666666666
