layer,bbq_correct,bbq_accuracy
1,5,0.016666666666666666
2,78,0.26
3,132,0.44
4,129,0.43
5,136,0.4533333333333333
6,127,0.42333333333333334
7,135,0.45
8,140,0.4666666666666667
9,133,0.44333333333333336
10,129,0.43
11,138,0.46
12,148,0.49333333333333335
13,152,0.5066666666666667
14,152,0.5066666666666667
15,151,0.5033333333333333
16,144,0.48
17,151,0.5033333333333333
18,140,0.4666666666666667
19,140,0.4666666666666667
20,139,0.4633333333333333
21,137,0.45666666666666667
22,137,0.45666666666666667
23,137,0.45666666666666667
24,138,0.46
25,138,0.46
26,138,0.46
27,135,0.45
28,134,0.44666666666666666
29,134,0.44666666666666666
30,134,0.44666666666666666
31,132,0.44
