layer,bbq_correct,bbq_accuracy
1,10,0.03333333333333333
2,78,0.26
3,137,0.45666666666666667
4,131,0.43666666666666665
5,126,0.42
6,121,0.4033333333333333
7,129,0.43
8,123,0.41
9,130,0.43333333333333335
10,131,0.43666666666666665
11,132,0.44
12,153,0.51
13,152,0.5066666666666667
14,155,0.5166666666666667
15,151,0.5033333333333333
16,147,0.49
17,156,0.52
18,144,0.48
19,140,0.4666666666666667
20,137,0.45666666666666667
21,137,0.45666666666666667
22,137,0.45666666666666667
23,138,0.46
24,138,0.46
25,136,0.4533333333333333
26,136,0.4533333333333333
27,134,0.44666666666666666
28,132,0.44
29,133,0.44333333333333336
30,134,0.44666666666666666
31,133,0.44333333333333336
