layer,bbq_correct,bbq_accuracy
1,0,0.0
2,100,0.3333333333333333
3,112,0.37333333333333335
4,149,0.49666666666666665
5,131,0.43666666666666665
6,119,0.39666666666666667
7,149,0.49666666666666665
8,143,0.4766666666666667
9,137,0.45666666666666667
10,134,0.44666666666666666
11,137,0.45666666666666667
12,130,0.43333333333333335
13,135,0.45
14,136,0.4533333333333333
15,134,0.44666666666666666
16,130,0.43333333333333335
17,130,0.43333333333333335
18,132,0.44
19,129,0.43
20,129,0.43
21,128,0.4266666666666667
22,128,0.4266666666666667
23,128,0.4266666666666667
24,129,0.43
25,130,0.43333333333333335
26,130,0.43333333333333335
27,129,0.43
28,131,0.43666666666666665
29,131,0.43666666666666665
30,131,0.43666666666666665
31,131,0.43666666666666665
