layer,bbq_correct,bbq_accuracy
1,0,0.0
2,46,0.15333333333333332
3,126,0.42
4,124,0.41333333333333333
5,126,0.42
6,140,0.4666666666666667
7,145,0.48333333333333334
8,134,0.44666666666666666
9,153,0.51
10,136,0.4533333333333333
11,141,0.47
12,129,0.43
13,138,0.46
14,133,0.44333333333333336
15,133,0.44333333333333336
16,132,0.44
17,134,0.44666666666666666
18,130,0.43333333333333335
19,131,0.43666666666666665
20,131,0.43666666666666665
21,129,0.43
22,128,0.4266666666666667
23,128,0.4266666666666667
24,130,0.43333333333333335
25,128,0.4266666666666667
26,128,0.4266666666666667
27,128,0.4266666666666667
28,128,0.4266666666666667
29,128,0.4266666666666667
30,128,0.4266666666666667
31,129,0.43
