layer,bbq_correct,bbq_accuracy
1,0,0.0
2,117,0.39
3,112,0.37333333333333335
4,133,0.44333333333333336
5,125,0.4166666666666667
6,137,0.45666666666666667
7,121,0.4033333333333333
8,112,0.37333333333333335
9,127,0.42333333333333334
10,134,0.44666666666666666
11,138,0.46
12,136,0.4533333333333333
13,147,0.49
14,138,0.46
15,138,0.46
16,135,0.45
17,141,0.47
18,137,0.45666666666666667
19,131,0.43666666666666665
20,131,0.43666666666666665
21,128,0.4266666666666667
22,128,0.4266666666666667
23,128,0.4266666666666667
24,128,0.4266666666666667
25,129,0.43
26,129,0.43
27,129,0.43
28,130,0.43333333333333335
29,128,0.4266666666666667
30,130,0.43333333333333335
31,130,0.43333333333333335
