layer,bbq_correct,bbq_accuracy
1,24,0.08
2,102,0.34
3,117,0.39
4,140,0.4666666666666667
5,155,0.5166666666666667
6,161,0.5366666666666666
7,146,0.4866666666666667
8,148,0.49333333333333335
9,156,0.52
10,139,0.4633333333333333
11,147,0.49
12,148,0.49333333333333335
13,147,0.49
14,143,0.4766666666666667
15,148,0.49333333333333335
16,146,0.4866666666666667
17,143,0.4766666666666667
18,141,0.47
19,140,0.4666666666666667
20,139,0.4633333333333333
21,139,0.4633333333333333
22,138,0.46
23,138,0.46
24,137,0.45666666666666667
25,135,0.45
26,135,0.45
27,137,0.45666666666666667
28,138,0.46
29,137,0.45666666666666667
30,138,0.46
31,136,0.4533333333333333
