layer,bbq_correct,bbq_accuracy
1,0,0.0
2,118,0.3933333333333333
3,104,0.3466666666666667
4,133,0.44333333333333336
5,140,0.4666666666666667
6,152,0.5066666666666667
7,141,0.47
8,132,0.44
9,136,0.4533333333333333
10,138,0.46
11,130,0.43333333333333335
12,137,0.45666666666666667
13,133,0.44333333333333336
14,136,0.4533333333333333
15,135,0.45
16,138,0.46
17,138,0.46
18,137,0.45666666666666667
19,139,0.4633333333333333
20,139,0.4633333333333333
21,139,0.4633333333333333
22,139,0.4633333333333333
23,139,0.4633333333333333
24,139,0.4633333333333333
25,139,0.4633333333333333
26,139,0.4633333333333333
27,138,0.46
28,139,0.4633333333333333
29,139,0.4633333333333333
30,138,0.46
31,138,0.46
