layer,bbq_correct,bbq_accuracy
1,0,0.0
2,93,0.31
3,160,0.5333333333333333
4,138,0.46
5,138,0.46
6,135,0.45
7,130,0.43333333333333335
8,138,0.46
9,140,0.4666666666666667
10,133,0.44333333333333336
11,141,0.47
12,146,0.4866666666666667
13,164,0.5466666666666666
14,167,0.5566666666666666
15,162,0.54
16,143,0.4766666666666667
17,147,0.49
18,145,0.48333333333333334
19,141,0.47
20,141,0.47
21,139,0.4633333333333333
22,141,0.47
23,141,0.47
24,140,0.4666666666666667
25,138,0.46
26,139,0.4633333333333333
27,138,0.46
28,138,0.46
29,138,0.46
30,136,0.4533333333333333
31,137,0.45666666666666667
